alcohol,alcohol_m,alcohol_f,tobacco,tobacco_m,tobacco_f,diabetes,tuberculosis,mortality,mortality_m,mortality_f
11.30438,18.10182,5.05029,30.8,35.7,25.9,9.0,21.0,19.7,27.0,13.0
12.23209,19.36109,5.58297,37.1,39.7,34.5,6.6,7.6,11.7,14.8,8.7
12.13358,18.70912,5.71392,25.6,28.6,22.5,4.5,5.0,10.0,12.2,7.7
10.54253,16.80512,4.72189,31.6,40.3,22.9,6.6,8.7,20.5,28.6,13.2
9.48963,14.91805,4.26371,31.9,35.8,27.9,6.3,14.0,10.7,14.8,6.6
7.21902,11.57386,3.21568,24.5,29.4,19.6,5.1,5.9,10.4,13.3,7.7
11.62513,18.67462,5.15442,24.0,27.9,20.1,6.8,12.0,17.0,22.8,11.5
7.47418,11.48784,3.4328,19.1,19.9,18.2,3.2,3.9,9.3,10.6,8.0
8.71981,13.75757,3.86129,42.9,49.1,36.7,5.1,5.2,13.5,18.5,8.7
9.48963,14.91805,4.26371,31.9,35.8,27.9,6.6,17.0,11.0,15.4,6.7
7.84791,12.05698,3.62324,15.2,15.4,14.9,3.2,2.4,9.2,10.5,7.9
13.21968,21.00366,5.8123,31.4,35.8,26.9,5.3,5.6,15.6,20.7,10.6
8.11866,12.8011,3.45781,36.4,50.1,22.7,9.3,6.1,9.7,12.9,6.6
11.31707,17.72336,5.1958,26.9,30.5,23.3,5.9,5.9,8.8,11.1,6.6
10.99456,18.24929,5.12246,40.1,55.1,25.1,7.8,48.0,25.2,36.3,16.0
12.21442,18.87609,5.74515,27.1,28.1,26.1,5.2,7.4,10.9,12.8,8.9
9.29617,14.41696,4.17948,24.0,29.8,18.2,5.0,3.9,8.4,9.6,7.1
10.28089,16.16159,4.65149,23.4,25.8,21.0,3.6,7.8,10.6,13.0,8.2
10.44538,16.89192,4.80883,25.4,30.5,20.2,9.1,16.0,11.0,15.4,7.0
7.67835,12.29967,3.40767,23.8,27.9,19.6,5.1,7.2,9.3,11.8,7.0
11.71343,17.92427,5.52763,21.6,23.5,20.3,4.5,7.9,9.6,11.8,7.4
7.71665,11.9299,3.43633,24.5,27.7,22.1,6.6,13.0,10.5,12.9,8.2
10.51561,16.50116,4.80292,16.1,18.7,15.0,5.2,8.1,10.5,12.4,8.7
11.62513,18.67462,5.15442,24.0,27.9,20.1,6.8,10.0,17.0,22.8,11.5
9.15577,14.37754,4.13998,21.6,26.9,16.3,6.1,3.9,9.6,12.4,6.8
13.21968,21.00366,5.8123,31.4,35.8,26.9,5.3,5.6,15.0,20.0,10.3
9.15577,14.37754,4.13998,22.2,27.7,16.6,5.8,4.7,9.6,12.4,6.8
10.73588,16.90264,4.88897,27.8,35.5,20.1,5.8,5.5,11.4,15.0,7.8
12.19174,19.19822,5.5633,27.1,29.8,26.6,6.6,6.1,10.9,13.8,8.1
13.21968,21.00366,5.8123,30.9,35.4,26.7,5.3,4.7,14.8,19.5,10.2
9.3835,14.67182,4.2488,24.6,26.9,22.2,5.3,5.9,11.1,12.5,9.6
11.3319,17.89522,5.12689,28.0,31.8,24.1,11.7,11.0,12.9,16.3,9.7
10.95399,17.23442,5.00985,24.1,25.9,22.2,5.2,15.0,11.7,13.7,9.7
10.39688,16.19171,4.76811,25.5,28.1,22.9,4.6,4.6,7.9,9.6,6.1
10.31864,16.46993,4.57514,31.5,38.0,25.1,5.7,5.8,16.0,21.7,10.7
6.80397,10.48831,3.09035,17.1,17.9,16.2,4.7,3.3,8.7,10.0,7.4
7.84791,12.05698,3.62324,15.2,15.4,14.9,3.2,2.1,8.8,10.0,7.5
13.09042,21.73064,5.99413,37.0,50.3,23.7,5.9,19.0,21.6,31.2,13.5
11.40099,18.28931,5.23832,25.3,33.1,17.4,9.6,27.0,12.1,16.7,7.8
7.96607,12.71871,3.53716,23.1,26.6,19.5,6.4,4.6,9.0,11.3,6.8
11.7039,18.05577,5.57809,20.8,22.5,19.0,3.0,4.8,9.7,11.2,8.1
7.47418,11.48784,3.4328,19.1,19.9,18.2,3.2,3.6,9.4,11.0,7.9
10.19669,15.96408,4.62202,27.5,30.0,25.0,5.3,6.7,12.2,13.9,10.4
10.31864,16.46993,4.57514,31.5,38.6,24.3,5.7,5.9,17.0,23.3,11.2
11.7853,19.33714,5.39399,32.0,42.1,21.8,5.8,30.0,19.3,28.4,11.7
9.78872,15.27233,4.41575,32.3,37.9,26.7,4.2,7.5,9.1,10.5,7.7
10.31864,16.46993,4.57514,31.5,38.6,24.3,5.7,4.8,16.5,22.5,10.9
9.30324,14.51377,4.22639,22.6,24.8,20.3,5.3,4.9,10.3,11.6,9.1
10.99456,18.24929,5.12246,40.1,55.1,25.1,7.8,49.0,23.5,34.3,14.5
11.71409,18.12455,5.54587,23.8,25.2,22.3,5.2,7.3,10.6,12.6,8.7
10.51561,16.50116,4.80292,19.3,21.2,17.4,5.2,8.9,10.8,12.7,8.9
9.1191,14.2644,3.98594,37.7,53.2,22.2,9.3,5.1,10.0,13.6,6.6
7.84791,12.05698,3.62324,15.2,15.4,14.9,3.2,4.4,8.7,10.0,7.3
10.67668,17.38058,4.72085,32.2,36.5,28.0,6.0,7.1,22.7,30.5,15.7
7.42912,11.51969,3.38644,26.7,27.6,25.8,4.7,7.4,10.8,12.8,8.7
11.71343,17.92427,5.52763,23.2,25.3,21.1,4.5,6.2,9.6,11.8,7.3
9.94182,15.72154,4.45515,29.7,32.0,27.3,6.3,11.0,10.0,13.6,6.6
8.05289,12.69752,3.4347,35.1,47.0,23.2,8.6,4.4,8.2,10.7,5.7
12.23209,19.36109,5.58297,37.1,39.7,34.5,6.6,9.2,12.2,15.8,8.8
8.11866,12.8011,3.45781,36.4,50.1,22.7,9.3,4.9,8.8,11.5,6.1
12.21997,19.22118,5.49089,22.0,24.1,19.9,5.3,5.3,12.1,15.2,9.0
11.7039,18.05577,5.57809,21.4,23.1,19.7,5.2,5.8,9.7,11.2,8.1
10.69437,16.6779,4.91056,26.2,29.3,23.1,5.9,7.9,8.5,10.3,6.6
11.5288,17.59996,5.44147,21.1,22.4,19.8,5.9,6.1,9.7,12.0,7.4
9.61349,14.99871,4.3703,21.1,21.9,20.3,5.6,5.1,11.2,13.1,9.2
8.05289,12.69752,3.4347,35.1,47.0,23.2,9.3,3.2,8.2,10.7,5.7
11.5288,17.59996,5.44147,21.1,22.4,19.8,5.9,8.3,9.7,12.0,7.4
14.05427,23.12288,6.59685,36.4,49.5,23.2,7.8,60.0,22.2,32.8,13.3
11.97275,18.80739,5.45854,26.4,27.7,25.0,4.6,4.4,10.4,12.9,7.9
6.82976,10.54198,3.09854,20.7,21.6,19.7,4.7,5.2,9.2,10.7,7.7
10.38865,16.24359,4.71538,25.5,26.8,24.2,5.6,6.0,12.3,14.3,10.3
11.60985,19.29576,5.34309,38.5,52.5,24.4,7.8,32.0,22.3,32.5,13.8
10.8168,16.95108,4.93842,15.4,17.3,13.5,6.3,7.6,10.3,12.1,8.5
11.46278,18.39543,5.09315,27.2,31.6,22.8,9.0,18.0,18.6,25.4,12.2
9.4453,14.68035,4.25363,27.9,33.7,22.1,4.2,5.6,9.0,10.3,7.6
9.43487,14.84425,4.26953,22.2,28.3,17.0,5.8,4.8,10.0,13.0,7.0
9.30324,14.51377,4.22639,22.2,24.4,19.9,4.5,4.1,10.3,11.6,9.1
10.97589,17.33298,4.68963,22.0,24.4,19.6,5.8,4.3,11.4,14.8,8.0
6.80397,10.48831,3.09035,16.2,17.0,15.4,3.6,3.0,8.7,10.0,7.4
14.1729,23.293,6.55996,34.0,45.5,22.4,7.8,54.0,22.2,32.8,13.2
8.05289,12.69752,3.4347,35.1,47.0,23.2,8.6,8.3,8.2,10.7,5.7
8.11866,12.8011,3.45781,35.5,48.3,22.9,9.3,4.8,8.3,10.6,6.0
7.4752,11.89236,3.27664,37.9,42.3,33.5,5.1,4.4,12.5,17.1,8.2
10.67668,17.38058,4.72085,33.2,37.6,28.7,6.0,7.6,23.1,30.8,16.1
9.29617,14.41696,4.17948,24.0,29.8,18.2,5.0,3.8,8.4,9.6,7.1
10.67668,17.38058,4.72085,33.2,37.6,28.7,6.0,10.0,23.2,30.7,16.5
8.71981,13.75757,3.86129,42.9,49.1,36.7,5.1,4.7,13.6,18.7,8.7
13.3274,21.1529,5.9053,32.3,37.3,27.3,5.3,6.2,16.9,22.6,11.5
8.11866,12.8011,3.45781,36.4,50.1,22.7,9.3,5.5,9.2,12.2,6.2
10.53851,17.01867,4.83714,25.3,30.9,19.7,9.6,21.0,11.4,16.0,7.2
7.96607,12.71871,3.53716,23.1,26.6,19.5,6.4,4.6,9.0,11.3,6.8
12.13358,18.70912,5.71392,25.6,28.6,22.5,6.6,6.6,11.8,14.4,9.1
11.2362,17.69386,5.08809,25.7,28.8,22.5,4.8,9.3,11.0,13.6,8.5
6.82976,10.54198,3.09854,20.7,21.6,19.7,4.7,6.3,9.5,11.2,7.7
10.51561,16.50116,4.80292,19.3,21.2,17.4,5.2,9.9,11.3,13.4,9.3
13.09042,21.73064,5.99413,37.0,50.3,23.7,7.8,20.0,21.6,31.2,13.5
10.59925,17.22221,4.67622,32.2,36.4,28.0,6.0,6.2,22.1,29.8,15.2
8.52383,13.03324,3.78689,24.0,26.4,21.6,8.0,13.0,10.5,12.9,8.2
